"Date","Time","Open","High","Low","Close","Up","Down"
09/07/2021,10:00,4519.25,4520.75,4519.00,4520.50,2320,2194
09/07/2021,10:05,4520.25,4520.75,4517.25,4518.00,2770,4794
09/07/2021,10:10,4518.00,4518.00,4515.25,4515.75,2458,5428
09/07/2021,10:15,4515.75,4516.00,4513.50,4513.50,2753,4615
09/07/2021,10:20,4513.25,4515.75,4511.50,4515.25,6309,5661
09/07/2021,10:25,4515.25,4515.50,4513.25,4513.75,1894,2633
09/07/2021,10:30,4513.75,4515.00,4511.75,4514.50,3452,5478
09/07/2021,10:35,4514.50,4518.25,4513.75,4517.25,5095,3629
09/07/2021,10:40,4517.25,4518.75,4516.50,4518.25,2634,3377
09/07/2021,10:45,4518.50,4519.00,4516.75,4518.25,2522,2345
09/07/2021,10:50,4518.00,4518.25,4516.75,4517.50,1610,1288
09/07/2021,10:55,4517.50,4517.75,4515.00,4515.00,2874,3217
09/07/2021,11:00,4515.25,4517.50,4514.25,4516.75,2630,3624
09/07/2021,11:05,4516.25,4519.25,4515.75,4518.50,4260,3655
09/07/2021,11:10,4518.50,4522.50,4518.50,4520.75,4781,4501
09/07/2021,11:15,4521.00,4521.00,4519.50,4520.25,2444,2663
09/07/2021,11:20,4520.00,4521.50,4519.75,4520.75,1749,1948
09/07/2021,11:25,4520.75,4521.25,4519.25,4519.25,1621,1425
09/07/2021,11:30,4519.25,4521.75,4519.00,4521.75,1994,1745
09/07/2021,11:35,4521.75,4522.25,4521.00,4521.50,2656,1779
09/07/2021,11:40,4521.25,4522.50,4520.50,4520.75,1526,2178
09/07/2021,11:45,4521.00,4523.25,4520.75,4523.00,3558,1883
09/07/2021,11:50,4523.00,4525.50,4523.00,4525.00,6337,4702
09/07/2021,11:55,4525.25,4525.75,4524.50,4525.25,2973,2566
09/07/2021,12:00,4525.00,4526.00,4524.75,4525.25,2778,1249
09/07/2021,12:05,4525.50,4527.00,4524.00,4524.00,3671,3968
09/07/2021,12:10,4524.00,4526.25,4524.00,4525.00,1628,2433
09/07/2021,12:15,4525.00,4527.50,4525.00,4527.00,1451,1627
09/07/2021,12:20,4526.75,4527.50,4526.25,4527.00,1425,1090
09/07/2021,12:25,4527.00,4527.50,4526.00,4526.00,773,1089
09/07/2021,12:30,4526.00,4526.25,4524.50,4525.25,763,1425
09/07/2021,12:35,4525.50,4526.75,4524.75,4526.00,2695,988
09/07/2021,12:40,4526.25,4527.25,4525.25,4526.75,1559,1303
09/07/2021,12:45,4526.75,4527.25,4526.25,4526.75,1012,818
09/07/2021,12:50,4526.75,4527.25,4526.00,4526.25,482,811
09/07/2021,12:55,4526.50,4527.75,4526.25,4527.75,1359,1050
09/07/2021,13:00,4527.75,4527.75,4526.75,4527.00,517,1175
09/07/2021,13:05,4527.00,4527.00,4525.25,4525.75,1790,2337
09/07/2021,13:10,4526.00,4526.00,4523.75,4525.00,2234,2921
09/07/2021,13:15,4525.00,4527.00,4524.75,4526.50,1854,376
09/07/2021,13:20,4526.25,4526.75,4523.25,4523.50,1551,2138
09/07/2021,13:25,4523.50,4524.25,4522.75,4523.50,1893,2131
09/07/2021,13:30,4523.25,4523.75,4522.25,4522.50,1675,1550
09/07/2021,13:35,4522.50,4524.25,4520.75,4523.75,3095,3088
09/07/2021,13:40,4524.00,4525.00,4522.50,4524.25,2975,2645
09/07/2021,13:45,4524.25,4524.50,4522.75,4523.25,1088,1158
09/07/2021,13:50,4523.50,4524.00,4522.25,4523.00,1187,1108
09/07/2021,13:55,4523.00,4524.50,4522.50,4524.25,1482,1268
09/07/2021,14:00,4524.25,4525.25,4524.00,4524.75,1547,1716
09/07/2021,14:05,4524.50,4526.25,4524.25,4526.25,2516,1679
09/07/2021,14:10,4526.25,4526.25,4524.50,4524.75,1638,2340
09/07/2021,14:15,4524.75,4525.75,4524.25,4524.75,1539,971
09/07/2021,14:20,4524.75,4525.25,4522.75,4524.00,2376,3033
09/07/2021,14:25,4523.75,4524.00,4522.75,4523.25,1686,1427
09/07/2021,14:30,4523.50,4523.75,4521.75,4522.00,1523,2037
09/07/2021,14:35,4521.75,4523.00,4520.75,4522.25,3346,3637
09/07/2021,14:40,4522.25,4523.00,4520.00,4520.25,3705,4216
09/07/2021,14:45,4520.25,4520.75,4519.50,4519.75,3090,3354
09/07/2021,14:50,4519.75,4521.50,4518.50,4519.50,3963,4543
09/07/2021,14:55,4519.50,4520.75,4518.00,4519.75,5433,6162
09/07/2021,15:00,4519.75,4520.25,4518.25,4519.25,5766,5749
09/07/2021,15:05,4519.00,4519.75,4516.75,4517.25,1790,3240
09/07/2021,15:10,4517.25,4518.50,4517.00,4517.50,1350,611
09/07/2021,15:15,4517.50,4517.50,4515.25,4516.00,728,1231
09/07/2021,15:20,4516.00,4517.50,4515.75,4517.25,482,82
09/07/2021,15:25,4517.25,4518.00,4517.00,4517.00,131,173
09/07/2021,15:30,4517.25,4517.25,4517.00,4517.00,45,208
09/07/2021,15:35,4517.00,4517.25,4516.25,4516.75,402,210
09/07/2021,15:40,4516.75,4517.25,4516.75,4517.00,51,152
09/07/2021,15:45,4517.25,4517.25,4517.00,4517.25,212,92
09/07/2021,15:50,4517.00,4517.75,4517.00,4517.00,212,301
09/07/2021,15:55,4517.25,4517.75,4517.00,4517.50,125,206
09/07/2021,16:00,4517.50,4518.25,4517.25,4517.75,227,277
09/07/2021,17:05,4517.75,4518.75,4517.00,4518.25,449,468
09/07/2021,17:10,4518.25,4519.00,4518.00,4519.00,123,75
09/07/2021,17:15,4519.00,4519.50,4518.75,4519.25,91,77
09/07/2021,17:20,4519.25,4519.50,4519.00,4519.25,59,41
09/07/2021,17:25,4519.25,4519.50,4518.50,4519.00,115,80
09/07/2021,17:30,4518.75,4519.00,4517.50,4518.00,81,161
09/07/2021,17:35,4518.25,4519.00,4518.25,4518.75,125,74
09/07/2021,17:40,4518.75,4518.75,4517.75,4517.75,32,117
09/07/2021,17:45,4517.75,4518.00,4517.25,4517.25,54,260
09/07/2021,17:50,4517.25,4518.00,4517.00,4517.75,78,71
09/07/2021,17:55,4517.75,4517.75,4517.25,4517.75,45,42
09/07/2021,18:00,4517.75,4518.00,4517.50,4518.00,53,32
09/07/2021,18:05,4518.00,4518.50,4517.50,4517.75,132,138
09/07/2021,18:10,4517.75,4517.75,4517.00,4517.00,60,121
09/07/2021,18:15,4516.75,4517.25,4515.75,4516.00,111,338
09/07/2021,18:20,4516.00,4516.75,4516.00,4516.50,150,34
09/07/2021,18:25,4516.50,4516.50,4515.75,4516.25,86,124
09/07/2021,18:30,4516.50,4516.75,4515.75,4516.00,78,62
09/07/2021,18:35,4516.25,4516.25,4515.75,4516.25,125,9
09/07/2021,18:40,4516.50,4517.25,4516.50,4517.00,130,19
09/07/2021,18:45,4517.00,4517.25,4516.50,4517.25,86,56
09/07/2021,18:50,4517.25,4517.25,4516.25,4516.25,33,105
09/07/2021,18:55,4516.25,4516.50,4514.25,4514.25,155,518
09/07/2021,19:00,4514.25,4514.75,4513.25,4514.50,395,601
09/07/2021,19:05,4514.50,4516.25,4514.25,4516.00,561,392
09/07/2021,19:10,4516.25,4517.75,4515.75,4517.75,589,271
09/07/2021,19:15,4517.50,4519.00,4517.50,4518.75,584,358
09/07/2021,19:20,4518.75,4519.50,4517.75,4518.50,324,355
09/07/2021,19:25,4518.50,4519.25,4517.75,4518.75,196,206
09/07/2021,19:30,4518.75,4519.50,4518.25,4518.50,158,151
09/07/2021,19:35,4518.50,4518.75,4517.75,4518.25,160,180
09/07/2021,19:40,4518.25,4518.75,4517.75,4518.25,164,137
09/07/2021,19:45,4518.50,4520.50,4518.50,4520.25,471,115
09/07/2021,19:50,4520.25,4520.75,4520.00,4520.25,178,205
09/07/2021,19:55,4520.50,4522.50,4520.50,4522.25,821,285
09/07/2021,20:00,4522.25,4522.50,4521.25,4522.25,333,186
09/07/2021,20:05,4522.25,4522.50,4521.50,4522.00,84,223
09/07/2021,20:10,4522.00,4522.25,4521.75,4521.75,156,208
09/07/2021,20:15,4521.75,4522.25,4521.25,4522.00,116,179
09/07/2021,20:20,4522.25,4522.75,4521.25,4521.75,392,381
09/07/2021,20:25,4522.00,4523.00,4521.75,4522.25,292,235
09/07/2021,20:30,4522.00,4523.00,4521.75,4522.00,221,244
09/07/2021,20:35,4522.00,4522.75,4521.25,4521.50,277,246
09/07/2021,20:40,4521.50,4523.50,4521.25,4523.25,389,102
09/07/2021,20:45,4523.50,4524.50,4523.25,4524.25,643,177
